"Anchor Green Primary School Hall","31 Anchorvale Drive",544969
"Anderson Secondary School Hall","10 Ang Mo Kio Street 53",569206
"Ang Mo Kio Primary School Hall","20 Ang Mo Kio Avenue 3	",569920
"Ang Mo Kio Secondary School Hall","6 Ang Mo Kio Street 22",569362
"Beatty Secondary School Hall","1 Toa Payoh North",318990
"Bedok North Secondary School Hall","20 Jalan Damai",419612
"Bedok South Secondary School Hall","1 Jalan Langgar Bedok",468585
"Bedok View Secondary School Hall", "6 Bedok South Avenue 3",
"Bendemeer Primary School Hall", "91 Bendemeer Road",339948
"Bendemeer Secondary School Hall", "1 St Wilfred Road",327919
"Bishan Sports Hall", "5 Bishan Street 14", 579783
"Blangah Rise Primary School Hall", "91 Telok Blangah Heights",109100
"Boon Lay Secondary School Hall ", "11 Jurong West Street 65",648354
"Bowen Secondary School Hall", "2 Lorong Napiri",547529
"Bukit Gombak Sports Hall", "810 Bukit Batok West Avenue 5",659088
"Bukit Panjang Govt High School Hall ", "7 Choa Chu Kang Avenue 4",689809
"Bukit Panjang Primary School Hall", "109 Cashew Road",679676
"Bukit View Secondary School Hall", "16 Bukit Batok Street",659633
"Canberra Primary School Hall", "21 Admirality Drive",757714
"Canberra Secondary School Hall", "51 Sembawang Drive",757699
"Cantonment Primary School Hall", "1 Cantonment Close",088256
"Casuarina Primary School Hall", "30 Pasir Ris Street 41",518934
"CHIJ St Theresa Convent School Hall", "160 Lower Delta Road",099138
"CHIJ St. Joseph's Convent School Hall", "62 Sengkang E Way", 548595
"Choa Chu Kang Sports Hall", "1 Choa Chu Kang Street 53",689236
"Clementi Primary School Hall", "8 Clementi Avenue 3",129903
"Clementi Sports Hall", "518 Clementi Avenue 3",129907
"Clementi Town Secondary School Hall", "10 Clementi Avenue 3",129904
"Commonwealth Secondary School Hall", "698 West Coast Road",608784
"Concord Primary School Hall", "3 Choa Chu Kang Avenue 4",689814
"Crescent Girls Secondary School Hall", "357 Tanglin Road",247961
"Crest Secondary School Hall", "561 Jurong East Street 24",609561
"Delta Sports Hall", "142 Alexandra Road",159924
"Dunman High School Hall", "10 Tanjong Rhu Road",436895
"East Spring Primary School Hall", "31 Tampines Street 33",529258
"East Spring Secondary School Hall", "30 Tampines Street 34",529231
"East View Secondary School Hall", "3 Tampines Street 42",529177
"Edgefield Secondary School Hall ", "36 Punggol Field",828814
"Endeavour Primary School Hall", "10 Admirality Link",757521
"Fajar Secondary School Hall", "31 Gangsa Road",678972
"First Toa Payoh Primary School Hall", "220 Lor 8 Toa Payoh",319252
"Frontier Primary School Hall", "20 Jurong West Street 61",648200
"Fuhua Secondary School Hall", "5 Jurong West Street 41",649410
"Gan Eng Seng Primary School Hall", "100 Redhill Close",158901
"Gan Eng Seng Secondary School Hall", "1 Henderson Road",159561
"Gongshang Primary School Hall", "1 Tampines Street 42",529176
"Greendale Primary School Hall", "50 Edgedale Plains",828848
