"Anchor Green Primary School Hall","31 Anchorvale Drive",544969
"Anderson Secondary School Hall","10 Ang Mo Kio Street 53",569206
"Ang Mo Kio Primary School Hall","20 Ang Mo Kio Avenue 3	",569920
"Ang Mo Kio Secondary School Hall","6 Ang Mo Kio Street 22",569362
"Beatty Secondary School Hall","1 Toa Payoh North",318990
"Bedok North Secondary School Hall","20 Jalan Damai",419612
"Bedok South Secondary School Hall","1 Jalan Langgar Bedok",468585
"Bedok View Secondary School Hall","6 Bedok South Avenue 3",469293
"Bendemeer Primary School Hall","91 Bendemeer Road",339948
"Bendemeer Secondary School Hall","1 St Wilfred Road",327919
"Bishan Sports Hall","5 Bishan Street 14",579783
"Blangah Rise Primary School Hall","91 Telok Blangah Heights",109100
"Boon Lay Secondary School Hall ","11 Jurong West Street 65",648354
"Bowen Secondary School Hall","2 Lorong Napiri",547529
"Bukit Gombak Sports Hall","810 Bukit Batok West Avenue 5",659088
"Bukit Panjang Govt High School Hall ","7 Choa Chu Kang Avenue 4",689809
"Bukit Panjang Primary School Hall","109 Cashew Road",679676
"Bukit View Secondary School Hall","16 Bukit Batok Street",659633
"Canberra Primary School Hall","21 Admirality Drive",757714
"Canberra Secondary School Hall","51 Sembawang Drive",757699
